#k	tpr	fpr
5	0.00341685649203	0.00212992545261
10	0.00797266514806	0.00319488817891
15	0.0125284738041	0.00425985090522
20	0.0182232346241	0.00425985090522
25	0.0239179954442	0.00425985090522
30	0.0261958997722	0.00745473908413
35	0.0296127562642	0.00958466453674
40	0.0330296127563	0.0117145899894
45	0.0375854214123	0.0127795527157
50	0.0421412300683	0.013844515442
55	0.0478359908884	0.013844515442
60	0.0512528473804	0.0159744408946
65	0.0569476082005	0.0159744408946
70	0.0626423690205	0.0159744408946
75	0.0683371298405	0.0159744408946
80	0.0717539863326	0.0181043663472
85	0.0763097949886	0.0191693290735
90	0.0797266514806	0.0212992545261
95	0.0854214123007	0.0212992545261
100	0.0899772209567	0.0223642172524
105	0.0945330296128	0.0234291799787
110	0.100227790433	0.0234291799787
115	0.103644646925	0.0255591054313
120	0.109339407745	0.0255591054313
125	0.112756264237	0.0276890308839
130	0.118451025057	0.0276890308839
135	0.119589977221	0.0319488817891
140	0.124145785877	0.0330138445154
145	0.129840546697	0.0330138445154
150	0.135535307517	0.0330138445154
155	0.141230068337	0.0330138445154
160	0.146924829157	0.0330138445154
165	0.150341685649	0.0351437699681
170	0.154897494305	0.0362087326944
175	0.159453302961	0.0372736954207
180	0.164009111617	0.038338658147
185	0.167425968109	0.0404685835996
190	0.171981776765	0.0415335463259
195	0.176537585421	0.0425985090522
200	0.182232346241	0.0425985090522
205	0.186788154897	0.0436634717785
210	0.191343963554	0.0447284345048
215	0.197038724374	0.0447284345048
220	0.20159453303	0.0457933972311
225	0.203872437358	0.04898828541
230	0.209567198178	0.04898828541
235	0.21298405467	0.0511182108626
240	0.21867881549	0.0511182108626
245	0.22437357631	0.0511182108626
250	0.228929384966	0.0521831735889
255	0.233485193622	0.0532481363152
260	0.239179954442	0.0532481363152
265	0.242596810934	0.0553780617678
270	0.24715261959	0.0564430244941
275	0.250569476082	0.0585729499468
280	0.256264236902	0.0585729499468
285	0.260820045558	0.0596379126731
290	0.263097949886	0.062832800852
295	0.268792710706	0.062832800852
300	0.274487471526	0.062832800852
305	0.279043280182	0.0638977635783
310	0.283599088838	0.0649627263046
315	0.288154897494	0.0660276890309
320	0.293849658314	0.0660276890309
325	0.296127562642	0.0692225772098
330	0.301822323462	0.0692225772098
335	0.307517084282	0.0692225772098
340	0.30979498861	0.0724174653887
345	0.314350797267	0.073482428115
350	0.315489749431	0.0777422790202
355	0.320045558087	0.0788072417465
360	0.322323462415	0.0820021299255
365	0.325740318907	0.0841320553781
370	0.330296127563	0.0851970181044
375	0.335990888383	0.0851970181044
380	0.337129840547	0.0894568690096
385	0.340546697039	0.0915867944622
390	0.346241457859	0.0915867944622
395	0.351936218679	0.0915867944622
400	0.356492027335	0.0926517571885
405	0.361047835991	0.0937167199148
410	0.366742596811	0.0937167199148
415	0.371298405467	0.0947816826411
420	0.374715261959	0.0969116080937
425	0.378132118451	0.0990415335463
430	0.383826879271	0.0990415335463
435	0.389521640091	0.0990415335463
440	0.392938496583	0.101171458999
445	0.397494305239	0.102236421725
450	0.403189066059	0.102236421725
455	0.408883826879	0.102236421725
460	0.413439635535	0.103301384452
465	0.416856492027	0.105431309904
470	0.421412300683	0.10649627263
475	0.427107061503	0.10649627263
480	0.431662870159	0.107561235357
485	0.436218678815	0.108626198083
490	0.439635535308	0.110756123536
495	0.444191343964	0.111821086262
500	0.449886104784	0.111821086262
505	0.45444191344	0.112886048988
510	0.458997722096	0.113951011715
515	0.462414578588	0.116080937167
520	0.466970387244	0.117145899894
525	0.466970387244	0.122470713525
530	0.468109339408	0.12673056443
535	0.472665148064	0.127795527157
540	0.474943052392	0.130990415335
545	0.479498861048	0.132055378062
550	0.485193621868	0.132055378062
555	0.487471526196	0.135250266241
560	0.492027334852	0.136315228967
565	0.496583143508	0.137380191693
570	0.498861047836	0.140575079872
575	0.503416856492	0.141640042599
580	0.507972665148	0.142705005325
585	0.510250569476	0.145899893504
590	0.515945330296	0.145899893504
595	0.518223234624	0.149094781683
600	0.521640091116	0.151224707135
605	0.525056947608	0.153354632588
610	0.529612756264	0.154419595314
615	0.531890660592	0.157614483493
620	0.537585421412	0.157614483493
625	0.542141230068	0.158679446219
630	0.544419134396	0.161874334398
635	0.548974943052	0.162939297125
640	0.554669703872	0.162939297125
645	0.559225512528	0.164004259851
650	0.563781321185	0.165069222577
655	0.567198177677	0.16719914803
660	0.571753986333	0.168264110756
665	0.577448747153	0.168264110756
670	0.578587699317	0.172523961661
675	0.580865603645	0.17571884984
680	0.586560364465	0.17571884984
685	0.586560364465	0.181043663472
690	0.592255125285	0.181043663472
695	0.593394077449	0.185303514377
700	0.597949886105	0.186368477103
705	0.601366742597	0.188498402556
710	0.605922551253	0.189563365282
715	0.608200455581	0.192758253461
720	0.613895216401	0.192758253461
725	0.617312072893	0.194888178914
730	0.623006833713	0.194888178914
735	0.628701594533	0.194888178914
740	0.632118451025	0.197018104366
745	0.634396355353	0.200212992545
750	0.638952164009	0.201277955272
755	0.644646924829	0.201277955272
760	0.650341685649	0.201277955272
765	0.652619589977	0.20447284345
770	0.658314350797	0.20447284345
775	0.662870159453	0.205537806177
780	0.667425968109	0.206602768903
785	0.671981776765	0.207667731629
790	0.676537585421	0.208732694356
795	0.682232346241	0.208732694356
800	0.687927107062	0.208732694356
805	0.693621867882	0.208732694356
810	0.698177676538	0.209797657082
815	0.70159453303	0.211927582535
820	0.705011389522	0.214057507987
825	0.708428246014	0.21618743344
830	0.714123006834	0.21618743344
835	0.719817767654	0.21618743344
840	0.722095671982	0.219382321619
845	0.725512528474	0.221512247071
850	0.73006833713	0.222577209798
855	0.734624145786	0.223642172524
860	0.740318906606	0.223642172524
865	0.744874715262	0.22470713525
870	0.748291571754	0.226837060703
875	0.750569476082	0.230031948882
880	0.756264236902	0.230031948882
885	0.761958997722	0.230031948882
890	0.766514806378	0.231096911608
895	0.771070615034	0.232161874334
900	0.776765375854	0.232161874334
905	0.78132118451	0.233226837061
910	0.783599088838	0.23642172524
915	0.789293849658	0.23642172524
920	0.794988610478	0.23642172524
925	0.800683371298	0.23642172524
930	0.806378132118	0.23642172524
935	0.812072892938	0.23642172524
940	0.817767653759	0.23642172524
945	0.823462414579	0.23642172524
950	0.829157175399	0.23642172524
955	0.834851936219	0.23642172524
960	0.840546697039	0.23642172524
965	0.846241457859	0.23642172524
970	0.851936218679	0.23642172524
975	0.857630979499	0.23642172524
980	0.863325740319	0.23642172524
985	0.869020501139	0.23642172524
990	0.874715261959	0.23642172524
995	0.880410022779	0.23642172524
1000	0.886104783599	0.23642172524
1005	0.891799544419	0.23642172524
1010	0.897494305239	0.23642172524
1015	0.903189066059	0.23642172524
1020	0.907744874715	0.237486687966
1025	0.913439635535	0.237486687966
1030	0.919134396355	0.237486687966
1035	0.924829157175	0.237486687966
1040	0.929384965831	0.238551650692
1045	0.932801822323	0.240681576145
1050	0.938496583144	0.240681576145
1055	0.944191343964	0.240681576145
1060	0.94874715262	0.241746538871
1065	0.95444191344	0.241746538871
1070	0.956719817768	0.24494142705
1075	0.96013667426	0.247071352503
1080	0.96583143508	0.247071352503
1085	0.970387243736	0.248136315229
1090	0.974943052392	0.249201277955
1095	0.979498861048	0.250266240682
1100	0.981776765376	0.25346112886
1105	0.984054669704	0.256656017039
1110	0.986332574032	0.259850905218
1115	0.986332574032	0.26517571885
1120	0.989749430524	0.267305644302
1125	0.990888382688	0.271565495208
1130	0.990888382688	0.276890308839
1135	0.990888382688	0.282215122471
1140	0.990888382688	0.287539936102
1145	0.990888382688	0.292864749734
1150	0.990888382688	0.298189563365
1155	0.990888382688	0.303514376997
1160	0.990888382688	0.308839190628
1165	0.990888382688	0.31416400426
1170	0.995444191344	0.315228966986
1175	0.995444191344	0.320553780618
1180	0.995444191344	0.325878594249
1185	0.995444191344	0.331203407881
1190	0.995444191344	0.336528221512
1195	0.995444191344	0.341853035144
1200	0.995444191344	0.347177848775
1205	0.995444191344	0.352502662407
1210	0.995444191344	0.357827476038
1215	0.995444191344	0.36315228967
1220	0.995444191344	0.368477103301
1225	0.995444191344	0.373801916933
1230	0.995444191344	0.379126730564
1235	0.995444191344	0.384451544196
1240	0.995444191344	0.389776357827
1245	0.995444191344	0.395101171459
1250	0.995444191344	0.400425985091
1255	0.995444191344	0.405750798722
1260	0.995444191344	0.411075612354
1265	0.995444191344	0.416400425985
1270	0.995444191344	0.421725239617
1275	0.995444191344	0.427050053248
1280	0.995444191344	0.43237486688
1285	0.995444191344	0.437699680511
1290	0.995444191344	0.443024494143
1295	0.995444191344	0.448349307774
1300	0.995444191344	0.453674121406
1305	0.995444191344	0.458998935037
1310	0.995444191344	0.464323748669
1315	0.995444191344	0.4696485623
1320	0.995444191344	0.474973375932
1325	0.995444191344	0.480298189563
1330	0.995444191344	0.485623003195
1335	0.995444191344	0.490947816826
1340	0.995444191344	0.496272630458
1345	0.995444191344	0.501597444089
1350	0.995444191344	0.506922257721
1355	0.995444191344	0.512247071353
1360	0.995444191344	0.517571884984
1365	0.995444191344	0.522896698616
1370	0.995444191344	0.528221512247
1375	0.995444191344	0.533546325879
1380	0.995444191344	0.53887113951
1385	0.995444191344	0.544195953142
1390	0.995444191344	0.549520766773
1395	0.995444191344	0.554845580405
1400	0.995444191344	0.560170394036
1405	0.995444191344	0.565495207668
1410	0.995444191344	0.570820021299
1415	0.995444191344	0.576144834931
1420	0.995444191344	0.581469648562
1425	0.995444191344	0.586794462194
1430	0.995444191344	0.592119275825
1435	0.995444191344	0.597444089457
1440	0.995444191344	0.602768903088
1445	0.995444191344	0.60809371672
1450	0.995444191344	0.613418530351
1455	0.995444191344	0.618743343983
1460	0.995444191344	0.624068157614
1465	0.995444191344	0.629392971246
1470	0.995444191344	0.634717784878
1475	0.995444191344	0.640042598509
1480	0.995444191344	0.645367412141
1485	0.995444191344	0.650692225772
1490	0.997722095672	0.653887113951
1495	0.997722095672	0.659211927583
1500	0.997722095672	0.664536741214
1505	0.997722095672	0.669861554846
1510	0.997722095672	0.675186368477
1515	0.997722095672	0.680511182109
1520	0.997722095672	0.68583599574
1525	0.998861047836	0.690095846645
1530	1.0	0.694355697551
1535	1.0	0.699680511182
1540	1.0	0.705005324814
1545	1.0	0.710330138445
1550	1.0	0.715654952077
1555	1.0	0.720979765708
1560	1.0	0.72630457934
1565	1.0	0.731629392971
1570	1.0	0.736954206603
1575	1.0	0.742279020234
1580	1.0	0.747603833866
1585	1.0	0.752928647497
1590	1.0	0.758253461129
1595	1.0	0.76357827476
1600	1.0	0.768903088392
1605	1.0	0.774227902023
1610	1.0	0.779552715655
1615	1.0	0.784877529286
1620	1.0	0.790202342918
1625	1.0	0.79552715655
1630	1.0	0.800851970181
1635	1.0	0.806176783813
1640	1.0	0.811501597444
1645	1.0	0.816826411076
1650	1.0	0.822151224707
1655	1.0	0.827476038339
1660	1.0	0.83280085197
1665	1.0	0.838125665602
1670	1.0	0.843450479233
1675	1.0	0.848775292865
1680	1.0	0.854100106496
1685	1.0	0.859424920128
1690	1.0	0.864749733759
1695	1.0	0.870074547391
1700	1.0	0.875399361022
1705	1.0	0.880724174654
1710	1.0	0.886048988285
1715	1.0	0.891373801917
1720	1.0	0.896698615548
1725	1.0	0.90202342918
1730	1.0	0.907348242812
1735	1.0	0.912673056443
1740	1.0	0.917997870075
1745	1.0	0.923322683706
1750	1.0	0.928647497338
1755	1.0	0.933972310969
1760	1.0	0.939297124601
1765	1.0	0.944621938232
1770	1.0	0.949946751864
1775	1.0	0.955271565495
1780	1.0	0.960596379127
1785	1.0	0.965921192758
1790	1.0	0.97124600639
1795	1.0	0.976570820021
1800	1.0	0.981895633653
1805	1.0	0.987220447284
1810	1.0	0.992545260916
1815	1.0	0.997870074547
